,genres,id
221,"[{'id': 18, 'name': 'Drama'}]",3780
222,"[{'id': 18, 'name': 'Drama'}]",655
223,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]",347688
224,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",571265
225,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",400608
226,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",146233
227,"[{'id': 18, 'name': 'Drama'}]",7345
228,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",387
229,"[{'id': 18, 'name': 'Drama'}]",406
230,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",359940
231,"[{'id': 18, 'name': 'Drama'}]",334543
232,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",831827
233,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",4348
234,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",62
235,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",8422
236,"[{'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",118662
237,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",10681
238,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",11645
239,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",893941
240,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",42229
241,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",8392
242,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",740937
243,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}]",638507
244,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",17663
245,"[{'id': 18, 'name': 'Drama'}]",147
246,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",437068
